ticker,name,price,close_raw,change_pct,rec_score,mfc_score,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,ai_prediction,ai_confidence,gap_pct,volume_surge,near_52w_high,premarket_active
TON-USD,Toncoin,$0.01,0.006386278662830591,-0.2,67.0,59.8,False,False,False,61.1,Accumulation,"{'trend': 100, 'momentum': 58.6, 'flow': 13.0, 'volatility': 83, 'structure': 60.0, 'momentum_quality': 62.6, 'insider': 45.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,하락,상단,정배열,1.3,8.0,,,,,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔥 거래량 20.0x', 'cls': 'positive'}, {'text': '거래량 폭발', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 60, 'wyckoff': 100, 'stochastic': 33.41522335121262, 'obv': 25, 'bollinger': 0, 'momentum_quality': 62.6, 'regime_score': 50, 'rr_score': 100, 'base_tech': 55.3}",+0.00%,0.5,0,0,False,False
ZEC-USD,Zcash,$523.62,523.6199951171875,-6.48,64.2,64.1,False,False,False,59.4,Markup,"{'trend': 100, 'momentum': 58.5, 'flow': 47.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 45.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,하락,상단,정배열,10.1,5.0,,,,,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -6.5% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 64, 'wyckoff': 80, 'stochastic': 37.59090901799748, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 89.6, 'base_tech': 59.3}",+0.00%,0.5,0,0,False,False
TRX-USD,TRON,$0.35,0.35060086846351624,-0.86,62.6,76.7,False,False,False,70.6,Markup,"{'trend': 100, 'momentum': 71.4, 'flow': 93.0, 'volatility': 63, 'structure': 65.0, 'momentum_quality': 94.8, 'insider': 45.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,상승,상단,정배열,3.1,0.0,,,,,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 77, 'wyckoff': 80, 'stochastic': 48.82620237296788, 'obv': 75, 'bollinger': 0, 'momentum_quality': 94.8, 'regime_score': 50, 'rr_score': 88.7, 'base_tech': 70.3}",+0.00%,0.5,0,0,False,False
DOGE-USD,Dogecoin,$0.11,0.11202999949455261,-2.83,62.0,58.3,False,False,False,59.9,Accumulation,"{'trend': 80.0, 'momentum': 60.0, 'flow': 33.0, 'volatility': 53, 'structure': 65.0, 'momentum_quality': 84.3, 'insider': 45.0}",2.0,,0.0,Tactical Hold,"중립 대기 (방향성 탐색 중, 뚜렷한 주도력 부재)",False,하락,상단,혼합,3.2,5.0,,,,,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -2.8% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 58, 'wyckoff': 100, 'stochastic': 45.63610284960532, 'obv': 25, 'bollinger': 0, 'momentum_quality': 84.3, 'regime_score': 50, 'rr_score': 73.0, 'base_tech': 59.5}",+0.00%,0.5,0,0,False,False
ADA-USD,Cardano,$0.26,0.25929999351501465,-4.02,61.0,51.5,False,False,False,49.0,Distribution,"{'trend': 68.0, 'momentum': 67.1, 'flow': 21.0, 'volatility': 53, 'structure': 30.0, 'momentum_quality': 96.8, 'insider': 45.0}",2.0,,0.0,Underweight,매도 우위 (투매 경고 - 강한 하방 압력),False,하락,하단,혼합,-0.3,5.0,,,,,,"[{'text': '분산 경고', 'cls': 'negative'}, {'text': '🔻 갭다운 -4.0% (반등?)', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 52, 'wyckoff': 30, 'stochastic': 22.91023439212955, 'obv': 25, 'bollinger': 100, 'momentum_quality': 96.8, 'regime_score': 50, 'rr_score': 84.6, 'base_tech': 51.7}",+0.00%,0.5,0,0,False,False
XRP-USD,XRP,$1.44,1.4384000301361084,-3.08,59.8,52.2,False,False,False,53.0,Markdown,"{'trend': 73.0, 'momentum': 70.9, 'flow': 18.0, 'volatility': 73, 'structure': 15.0, 'momentum_quality': 84.1, 'insider': 45.0}",2.0,,0.0,Tactical Hold,매도 우위 (비중 축소 - 지지선 단기 이탈 및 추세 악화),False,하락,상단,혼합,1.6,5.0,,,,,,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': '🔻 갭다운 -3.1% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 52, 'wyckoff': 10, 'stochastic': 34.03093187741794, 'obv': 25, 'bollinger': 0, 'momentum_quality': 84.1, 'regime_score': 50, 'rr_score': 96.2, 'base_tech': 39.8}",+0.00%,0.5,0,0,False,False
BNB-USD,BNB,$675.60,675.5999755859375,-0.35,59.7,73.1,False,False,False,67.5,Markup,"{'trend': 80.0, 'momentum': 82.3, 'flow': 73.0, 'volatility': 63, 'structure': 80.0, 'momentum_quality': 100, 'insider': 45.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,상승,상단,혼합,5.3,0.0,,,,,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 73, 'wyckoff': 80, 'stochastic': 45.30755079536689, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 65.0, 'base_tech': 69.4}",+0.00%,0.5,0,0,False,False
LEO-USD,LEO Token,$10.18,10.17745304107666,-0.14,59.4,61.4,False,False,False,50.3,Accumulation,"{'trend': 40.0, 'momentum': 59.4, 'flow': 85.0, 'volatility': 93, 'structure': 65.0, 'momentum_quality': 41.8, 'insider': 45.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),True,상승,하단,데드크로스 진행,-0.7,0.0,,,,,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🎯 시그널 컨플루언스 (3)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': 'Squeeze 대기', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 61, 'wyckoff': 100, 'stochastic': 69.65690297709713, 'obv': 75, 'bollinger': 100, 'momentum_quality': 41.8, 'regime_score': 50, 'rr_score': 70.6, 'base_tech': 71.1}",+0.00%,0.5,0,0,False,False
SOL-USD,Solana,$89.11,89.11000061035156,-3.3,59.3,53.0,False,False,False,50.6,Markdown,"{'trend': 73.0, 'momentum': 68.9, 'flow': 33.0, 'volatility': 53, 'structure': 15.0, 'momentum_quality': 94.0, 'insider': 45.0}",2.0,,0.0,Tactical Hold,매도 우위 (비중 축소 - 지지선 단기 이탈 및 추세 악화),False,하락,상단,혼합,0.8,5.0,,,,,,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': '🔻 갭다운 -3.3% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 53, 'wyckoff': 10, 'stochastic': 19.54182980102452, 'obv': 25, 'bollinger': 0, 'momentum_quality': 94.0, 'regime_score': 50, 'rr_score': 90.3, 'base_tech': 39.8}",+0.00%,0.5,0,0,False,False
ZANO-USD,Zano,$11.01,11.013495445251465,-4.55,59.3,67.3,False,False,False,60.5,Markup,"{'trend': 100, 'momentum': 80.7, 'flow': 47.0, 'volatility': 33, 'structure': 65.0, 'momentum_quality': 100, 'insider': 45.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,상승,상단,정배열,7.7,5.0,,,,,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -4.5% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}]","{'mfc': 67, 'wyckoff': 80, 'stochastic': 38.56616530446342, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 96.8, 'base_tech': 66.6}",N/A,,0,0,False,False
FIRO-USD,Firo,$1.08,1.0827206373214722,-14.68,59.1,63.9,False,False,False,53.7,Accumulation,"{'trend': 80.0, 'momentum': 75.3, 'flow': 61.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 45.0}",2.0,,0.0,Tactical Hold,"중립 대기 (방향성 탐색 중, 뚜렷한 주도력 부재)",False,상승,상단,혼합,3.9,5.0,,,,,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -14.7% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}]","{'mfc': 64, 'wyckoff': 100, 'stochastic': 16.593261692218988, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 88.8, 'base_tech': 66.4}",N/A,,0,0,False,False
