ticker,name,price,close_raw,sector,industry,change_pct,rec_score,mfc_score,held_percent_insiders,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,adl_trend,adl_val,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,audit_info,ai_prediction,actionScore,recommendation,predictedResult,ai_confidence,gap_pct,volume_surge,volume_surge_projected,near_52w_high,premarket_active
005930.KS,SamsungElec,"239,500원",239500.0,Technology,Consumer Electronics,4.13,82.6,51.9,0.0967,False,False,False,45.5,Accumulation,"{'trend': 48.0, 'momentum': 67.0, 'flow': 37.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 34.4, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),True,상승,하단,혼합,-2.0,10.0,하락,-134063150.09697397,13.551,1.299,0.57488,0.52187,56693408923648.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 52, 'wyckoff': 100, 'stochastic': 51.792572958559546, 'obv': 75, 'bollinger': 100, 'momentum_quality': 34.4, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(64.5)}","{'base_tech_score': np.float64(64.5), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': -6, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,4.13,0.59,0.67,False,False
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,"506,000원",506000.0,Industrials,Aerospace & Defense,-4.89,74.9,65.4,0.69276,False,False,False,49.3,Accumulation,"{'trend': 55.0, 'momentum': 70.5, 'flow': 89.0, 'volatility': 43, 'structure': 75.0, 'momentum_quality': 75.0, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,상승,상단,골든크로스 진행,5.6,5.0,상승,-450425.64246923686,1.722,0.548,0.17803,0.15303001,1406698127360.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 65, 'wyckoff': 100, 'stochastic': 41.612552563019065, 'obv': 75, 'bollinger': 0, 'momentum_quality': 75.0, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(66.1)}","{'base_tech_score': np.float64(66.1), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 10, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 5.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,-4.89,0.46,0.52,False,False
035720.KS,Kakao,"40,800원",40800.0,Communication Services,Internet Content & Information,3.16,73.5,73.2,0.29798,False,False,False,66.0,Markup,"{'trend': 68.0, 'momentum': 90.0, 'flow': 100, 'volatility': 33, 'structure': 80.0, 'momentum_quality': 98.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,골든크로스 진행,10.7,10.0,상승,-56686124.6663164,-0.001,0.111,0.93983,0.10885,3133942005760.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '🔥 Accumulation Confluence (CMF+ADL)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 73, 'wyckoff': 80, 'stochastic': 61.62345279992337, 'obv': 75, 'bollinger': 0, 'momentum_quality': 98.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(71.1)}","{'base_tech_score': np.float64(71.1), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 10, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -3.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,73.5,BUY,+0.00%,0.5,3.29,0.91,1.03,False,False
018260.KS,SAMSUNG SDS,"235,500원",235500.0,Technology,Information Technology Services,5.84,72.0,68.3,0.48995999,False,False,False,61.0,Markup,"{'trend': 60.0, 'momentum': 80.2, 'flow': 93.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 92.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,골든크로스 진행,12.7,10.0,상승,2517403.3091026098,-0.563,-0.039,0.13934,0.02337,608246824960.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '🚨 EPS 급락(-56%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 68, 'wyckoff': 80, 'stochastic': 40.481955950859856, 'obv': 75, 'bollinger': 0, 'momentum_quality': 92.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(66.0)}","{'base_tech_score': np.float64(66.0), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': 20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.0,BUY,+0.00%,0.5,6.4,0.49,0.55,False,False
000720.KS,HyundaiEng&Const,"113,300원",113300.0,Industrials,Engineering & Construction,2.44,71.4,65.3,0.34928,False,False,False,55.4,Markup,"{'trend': 55.0, 'momentum': 82.0, 'flow': 97.0, 'volatility': 3, 'structure': 80.0, 'momentum_quality': 82.8, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,골든크로스 진행,12.8,10.0,상승,-5962871.483523557,0.441,-0.158,0.06598,0.030580001,-1391086927872.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '🔥 Accumulation Confluence (CMF+ADL)', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '⚠️ 매출 감소(-16%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 65, 'wyckoff': 80, 'stochastic': 45.884192253871205, 'obv': 75, 'bollinger': 0, 'momentum_quality': 82.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(64.2)}","{'base_tech_score': np.float64(64.2), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 10, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -2.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,71.4,BUY,+0.00%,0.5,2.44,0.69,0.78,False,False
032830.KS,SAMSUNG LIFE,"287,500원",287500.0,Financial Services,Insurance - Life,2.5,70.8,57.7,0.4984,False,False,False,43.3,Accumulation,"{'trend': 48.0, 'momentum': 60.5, 'flow': 84.0, 'volatility': 43, 'structure': 65.0, 'momentum_quality': 25.8, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,상승,하단,혼합,-4.1,10.0,상승,2498553.8366473406,0.895,0.593,0.6019,0.03263,-46419025068032.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 58, 'wyckoff': 100, 'stochastic': 48.854875283446745, 'obv': 75, 'bollinger': 100, 'momentum_quality': 25.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(64.9)}","{'base_tech_score': np.float64(64.9), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,70.8,BUY,+0.00%,0.5,2.85,0.38,0.44,False,False
010950.KS,S-Oil,"142,200원",142200.0,Energy,Oil & Gas Refining & Marketing,1.86,70.8,63.0,0.63437,False,False,False,59.9,Markup,"{'trend': 58.0, 'momentum': 70.6, 'flow': 77.0, 'volatility': 43, 'structure': 80.0, 'momentum_quality': 32.4, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,데드크로스 진행,4.9,10.0,상승,1914401.9964744293,,0.409,1.0,0.08507,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 63, 'wyckoff': 80, 'stochastic': 88.9190003011141, 'obv': 75, 'bollinger': 0, 'momentum_quality': 32.4, 'regime_score': 50, 'rr_score': 77.2, 'base_tech': np.float64(61.0)}","{'base_tech_score': np.float64(61.0), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -10.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,2.08,0.79,0.9,False,False
028260.KS,SAMSUNG C&T,"346,000원",346000.0,Industrials,Engineering & Construction,2.98,70.7,62.4,0.48700002,False,False,False,47.8,Markup,"{'trend': 60.0, 'momentum': 74.0, 'flow': 72.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 69.4, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),True,상승,상단,골든크로스 진행,3.1,10.0,상승,-1763119.7906835405,0.152,0.075,0.18818001,0.06871,948216266752.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 62, 'wyckoff': 80, 'stochastic': 57.29070654813228, 'obv': 75, 'bollinger': 0, 'momentum_quality': 69.4, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(62.5)}","{'base_tech_score': np.float64(62.5), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -5.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,70.7,BUY,+0.00%,0.5,2.98,0.39,0.44,False,False
010120.KS,LS ELECTRIC,"202,500원",202500.0,Industrials,Electrical Equipment & Parts,-2.88,70.0,55.0,0.48534,False,False,False,50.5,Accumulation,"{'trend': 60.0, 'momentum': 70.4, 'flow': 44.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 50.8, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,하락,상단,골든크로스 진행,5.2,5.0,상승,-8930119.52497236,0.725,0.334,0.21058,0.09189,-33207713792.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 55, 'wyckoff': 100, 'stochastic': 48.75356125356127, 'obv': 25, 'bollinger': 0, 'momentum_quality': 50.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(53.7)}","{'base_tech_score': np.float64(53.7), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 5.0, 'fund_penalty': -20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,-2.64,0.24,0.27,False,False
042700.KS,HANMISemi,"211,000원",211000.0,Technology,Semiconductor Equipment & Materials,2.68,69.4,47.8,0.55786,False,False,False,48.5,Accumulation,"{'trend': 5, 'momentum': 79.3, 'flow': 64.0, 'volatility': 3, 'structure': 65.0, 'momentum_quality': 73.2, 'insider': 50.0}",2.0,,0.0,Tactical Hold,"중립 대기 (방향성 탐색 중, 뚜렷한 주도력 부재)",True,상승,상단,역배열,1.6,10.0,하락,12145108.848296335,-0.652,-0.655,0.55638003,0.16613,81983864832.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '🚨 EPS 급락(-65%)', 'cls': 'negative'}, {'text': '🚨 매출 강하락(-66%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 48, 'wyckoff': 100, 'stochastic': 71.91415948290984, 'obv': 75, 'bollinger': 0, 'momentum_quality': 73.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(63.3)}","{'base_tech_score': np.float64(63.3), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 10, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': 35.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,69.4,BUY,+0.00%,0.5,2.68,0.27,0.31,False,False
