ticker,name,price,close_raw,sector,industry,change_pct,rec_score,mfc_score,held_percent_insiders,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,adl_trend,adl_val,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,audit_info,ai_prediction,actionScore,recommendation,predictedResult,ai_confidence,gap_pct,volume_surge,volume_surge_projected,near_52w_high,premarket_active
068270.KS,Celltrion,"202,500원",202500.0,Healthcare,Biotechnology,-3.8,86.3,71.3,0.36181,False,False,False,64.7,Markup,"{'trend': 73.0, 'momentum': 81.8, 'flow': 89.0, 'volatility': 53, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,상승,상단,혼합,9.6,5.0,상승,-6961274.987876719,2.185,0.36,0.60687,0.28111,20776984576.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 71, 'wyckoff': 80, 'stochastic': 37.48052149941689, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 69.3, 'base_tech': np.float64(67.9)}","{'base_tech_score': np.float64(67.9), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 5.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,-3.8,0.78,1.28,False,False
005930.KS,SamsungElec,"258,500원",258500.0,Technology,Consumer Electronics,7.93,85.0,54.6,0.09689,False,False,False,50.9,Accumulation,"{'trend': 48.0, 'momentum': 79.8, 'flow': 37.0, 'volatility': 3, 'structure': 65.0, 'momentum_quality': 81.8, 'insider': 50.0}",2.0,,0.0,Tactical Hold,"중립 대기 (방향성 탐색 중, 뚜렷한 주도력 부재)",True,상승,상단,혼합,5.8,10.0,하락,-134798221.81913358,13.551,1.299,0.57488,0.52187,56693408923648.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 55, 'wyckoff': 100, 'stochastic': 76.18859927470228, 'obv': 75, 'bollinger': 0, 'momentum_quality': 81.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(67.5)}","{'base_tech_score': np.float64(67.5), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': -6, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,7.93,0.56,0.91,False,False
032830.KS,SAMSUNG LIFE,"306,500원",306500.0,Financial Services,Insurance - Life,5.87,79.8,60.3,0.4984,False,False,False,48.4,Markup,"{'trend': 40.0, 'momentum': 73.6, 'flow': 84.0, 'volatility': 43, 'structure': 80.0, 'momentum_quality': 39.9, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),True,상승,상단,혼합,2.3,10.0,상승,2633805.782516286,0.895,0.593,0.6019,0.03263,-46419025068032.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 60, 'wyckoff': 80, 'stochastic': 77.30758226478905, 'obv': 75, 'bollinger': 0, 'momentum_quality': 39.9, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(59.8)}","{'base_tech_score': np.float64(59.8), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,5.87,0.42,0.69,False,False
010120.KS,LS ELECTRIC,"208,000원",208000.0,Industrials,Electrical Equipment & Parts,2.46,78.8,58.6,0.48534,False,False,False,52.2,Accumulation,"{'trend': 68.0, 'momentum': 78.2, 'flow': 44.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 68.8, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),True,하락,상단,골든크로스 진행,7.5,10.0,상승,-9505655.92547049,0.725,0.334,0.21058,0.09189,-33207713792.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}]","{'mfc': 59, 'wyckoff': 100, 'stochastic': 55.163817663817696, 'obv': 25, 'bollinger': 0, 'momentum_quality': 68.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(58.4)}","{'base_tech_score': np.float64(58.4), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -20.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",N/A,,,,,2.46,0.27,0.44,False,False
066570.KS,LGELECTRONICS,"206,500원",206500.0,Technology,Consumer Electronics,13.96,72.9,71.9,0.35312998,False,False,False,59.7,Markup,"{'trend': 68.0, 'momentum': 100, 'flow': 100, 'volatility': 3, 'structure': 80.0, 'momentum_quality': 84.0, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,골든크로스 진행,18.8,10.0,상승,-5978797.125773544,0.021,0.043,0.23743,0.070539996,2337128579072.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 72, 'wyckoff': 80, 'stochastic': 60.21325234030385, 'obv': 75, 'bollinger': 0, 'momentum_quality': 84.0, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(68.4)}","{'base_tech_score': np.float64(68.4), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': 0.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.9,BUY,+0.00%,0.5,14.24,0.95,1.54,False,False
028260.KS,SAMSUNG C&T,"359,000원",359000.0,Industrials,Engineering & Construction,4.21,72.5,63.7,0.48700002,False,False,False,50.6,Accumulation,"{'trend': 60.0, 'momentum': 81.0, 'flow': 72.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 86.1, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),True,상승,상단,골든크로스 진행,6.9,10.0,상승,-1730888.7421098212,0.152,0.075,0.18818001,0.06871,948216266752.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 64, 'wyckoff': 100, 'stochastic': 71.54415099710886, 'obv': 75, 'bollinger': 0, 'momentum_quality': 86.1, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(70.8)}","{'base_tech_score': np.float64(70.8), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -5.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.5,BUY,+0.00%,0.5,4.21,0.28,0.46,False,False
005935.KS,SamsungElec(1P),"188,500원",188500.0,Technology,Consumer Electronics,4.61,72.2,61.7,0.00077,False,False,False,52.9,Accumulation,"{'trend': 68.0, 'momentum': 82.1, 'flow': 37.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 83.4, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),True,상승,상단,골든크로스 진행,7.0,10.0,하락,12932049.79876611,13.551,1.299,0.57488,0.52187,56693408923648.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 62, 'wyckoff': 100, 'stochastic': 74.73326259980155, 'obv': 75, 'bollinger': 0, 'momentum_quality': 83.4, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(70.1)}","{'base_tech_score': np.float64(70.1), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': -6, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -25.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.2,BUY,+0.00%,0.5,4.72,0.42,0.68,False,False
034020.KS,Doosan Enerbility,"80,500원",80500.0,Industrials,Specialty Industrial Machinery,3.34,72.0,65.2,0.30894,False,False,False,56.0,Markup,"{'trend': 63.0, 'momentum': 84.5, 'flow': 93.0, 'volatility': 3, 'structure': 80.0, 'momentum_quality': 98.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,골든크로스 진행,13.2,10.0,상승,-44882176.98596721,,0.137,0.16447,0.054640003,119446126592.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 65, 'wyckoff': 80, 'stochastic': 52.58661236067358, 'obv': 75, 'bollinger': 0, 'momentum_quality': 98.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(67.3)}","{'base_tech_score': np.float64(67.3), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 10, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -3.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,72.0,BUY,+0.00%,0.5,3.21,0.43,0.7,False,False
006400.KS,"SAMSUNG SDI CO.,LTD.","483,000원",483000.0,Industrials,Electrical Equipment & Parts,5.11,71.9,64.5,0.22959,False,False,False,57.1,Markup,"{'trend': 60.0, 'momentum': 91.0, 'flow': 81.0, 'volatility': 3, 'structure': 80.0, 'momentum_quality': 98.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단,골든크로스 진행,13.6,10.0,상승,-317339.61040689785,1.048,0.186,0.17543,0.054130003,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 64, 'wyckoff': 80, 'stochastic': 53.11107962521941, 'obv': 75, 'bollinger': 0, 'momentum_quality': 98.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(67.1)}","{'base_tech_score': np.float64(67.1), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 0.0, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -18.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,71.9,BUY,+0.00%,0.5,5.33,0.57,0.92,False,False
012450.KS,HANWHA AEROSPACE,"1,152,000원",1152000.0,Industrials,Aerospace & Defense,4.92,71.2,68.0,0.36861,False,False,False,61.8,Markup,"{'trend': 76.0, 'momentum': 90.0, 'flow': 76.0, 'volatility': 3, 'structure': 80.0, 'momentum_quality': 92.2, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,골든크로스 진행,19.2,10.0,상승,-2859322.486794155,3.381,0.049,0.20881,0.111090004,-808671772672.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 68, 'wyckoff': 80, 'stochastic': 43.820536536952055, 'obv': 75, 'bollinger': 0, 'momentum_quality': 92.2, 'regime_score': 50, 'rr_score': 90.9, 'base_tech': np.float64(66.3)}","{'base_tech_score': np.float64(66.3), 'insider_bonus': 0.0, 'deviation_penalty': 0.0, 'blowoff_penalty': 0.0, 'short_excessive_penalty': 0.0, 'weekly_penalty': 10, 'resistance_penalty': 0.0, 'rr_penalty': 0.0, 'cmf_confluence_val': 0.0, 'penny_penalty': 0.0, 'penny_non_acc_penalty': 0.0, 'scalping_bonus': 10.0, 'fund_penalty': -10.0, 'macd_reversal_bonus': 0.0, 'sector_rs_bonus': 0.0, 'confluence_bonus': 0.0, 'short_squeeze_bonus': 0.0, 'ai_momentum_bonus': 0.0}",+0.00%,71.2,BUY,+0.00%,0.5,4.83,0.22,0.36,False,False
