ticker,name,price,close_raw,change_pct,rec_score,mfc_score,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,adl_trend,adl_val,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,ai_prediction,ai_confidence,gap_pct,volume_surge,volume_surge_projected,near_52w_high,premarket_active
ACHR,Archer Aviation Inc.,$5.91,5.909999847412109,-0.17,51.2,41.5,False,False,False,46.6,Markdown,"{'trend': 53.0, 'momentum': 47.1, 'flow': 35.0, 'volatility': 43, 'structure': 15.0, 'momentum_quality': 42.2, 'insider': 50.0}",0.0,-1.2669708134235937,0.1478,Tactical Hold,매도 우위 (비중 축소 - 지지선 단기 이탈 및 추세 악화),False,하락,하단,혼합,-2.3,0.0,하락,-71713750.85298079,,,0.15788999,-157.625,-417224992.0,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': '🔴 영업손실(-15762%)', 'cls': 'negative'}, {'text': '🔴 적자기업(PER<0)', 'cls': 'negative'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '🚨 공매도 비중 주의 (14.78%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 42, 'wyckoff': 10, 'stochastic': 12.354957158393596, 'obv': 25, 'bollinger': 100, 'momentum_quality': 42.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(35.1)}",+0.00%,0.5,0,0,0,False,False
FTI,TechnipFMC plc,$73.88,73.87999725341797,0.64,50.5,58.7,False,False,False,54.7,Markup,"{'trend': 50.0, 'momentum': 59.1, 'flow': 65.0, 'volatility': 73, 'structure': 80.0, 'momentum_quality': 22.1, 'insider': 50.0}",7.0,-12.078664408668963,0.023599999,Core Holding,매수 우위 (안정적 상승 추세 안착),True,상승,상단,데드크로스 진행,0.5,0.0,하락,74643029.36367343,0.835,0.116,0.22584999,0.14057,987449984.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '🔥 숏커버 (-12.1%)', 'cls': 'positive'}]","{'mfc': 59, 'wyckoff': 80, 'stochastic': 59.26147971418621, 'obv': 75, 'bollinger': 0, 'momentum_quality': 22.1, 'regime_score': 50, 'rr_score': 80.4, 'base_tech': np.float64(54.4)}",N/A,,0,0,0,False,False
ONDS,Ondas Inc,$9.12,9.125,-5.93,50.4,35.5,False,False,False,45.2,Markdown,"{'trend': 60.0, 'momentum': 57.2, 'flow': 8.0, 'volatility': 18, 'structure': 15.0, 'momentum_quality': 6.8, 'insider': 50.0}",-3.0,0.022355818040191103,0.3396,Tactical Hold,매도 우위 (비중 축소 - 지지선 단기 이탈 및 추세 악화),False,하락,하단,골든크로스 진행,-7.7,5.0,하락,-769235290.021818,,6.292,0.39731,-0.63136,11973375.0,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': '🔻 갭다운 -5.9% (반등?)', 'cls': 'neutral'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': '🔴 영업손실(-63%)', 'cls': 'negative'}, {'text': '🚨 공매도 비중 주의 (33.96%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 36, 'wyckoff': 10, 'stochastic': 17.423729389892912, 'obv': 25, 'bollinger': 100, 'momentum_quality': 6.8, 'regime_score': 50, 'rr_score': 91.5, 'base_tech': np.float64(28.3)}",+0.00%,0.5,0,0,0,False,False
SMCI,"Super Micro Computer, Inc.",$30.56,30.559999465942383,-0.94,50.0,61.0,False,False,False,52.1,Accumulation,"{'trend': 73.0, 'momentum': 54.3, 'flow': 61.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 96.5, 'insider': 50.0}",-1.5,-3.1331623040552654,0.17940001,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,하락,상단,혼합,1.2,0.0,상승,194962555.88476607,3.444,1.227,0.08394,0.061100002,-7448383488.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '🚨 공매도 비중 주의 (17.94%)', 'cls': 'negative'}]","{'mfc': 61, 'wyckoff': 100, 'stochastic': 31.86649436842364, 'obv': 25, 'bollinger': 0, 'momentum_quality': 96.5, 'regime_score': 50, 'rr_score': 90.3, 'base_tech': np.float64(60.6)}",N/A,,0,0,0,False,False
PCG,Pacific Gas & Electric Co.,$16.41,16.40999984741211,3.53,49.9,50.7,False,False,False,46.3,Distribution,"{'trend': 48.0, 'momentum': 60.7, 'flow': 25.0, 'volatility': 93, 'structure': 30.0, 'momentum_quality': 44.9, 'insider': 50.0}",4.0,-5.4,0.0,Underweight,매도 우위 (투매 경고 - 강한 하방 압력),False,하락,하단,혼합,-0.0,10.0,상승,-17022065.222939372,0.414,0.15,0.39353,0.23921,-5572125184.0,"[{'text': '분산 경고', 'cls': 'negative'}, {'text': '⚡ 갭업 +3.5%', 'cls': 'positive'}, {'text': 'Squeeze 대기', 'cls': 'neutral'}]","{'mfc': 51, 'wyckoff': 30, 'stochastic': 32.994964883248166, 'obv': 25, 'bollinger': 100, 'momentum_quality': 44.9, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(44.8)}",N/A,,0,0,0,False,False
PATH,"UiPath, Inc.",$10.55,10.550000190734863,-0.85,49.6,53.2,False,False,False,50.6,Accumulation,"{'trend': 5, 'momentum': 77.5, 'flow': 58.0, 'volatility': 73, 'structure': 65.0, 'momentum_quality': 36.4, 'insider': 50.0}",-8.0,23.22634854337046,0.2848,Tactical Hold,"중립 대기 (방향성 탐색 중, 뚜렷한 주도력 부재)",True,상승,상단,역배열,1.1,0.0,하락,1512116.3452782333,1.017,0.136,0.83242,0.16688,473554368.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔄 MACD 반전', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '🎯 시그널 컨플루언스 (3)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '🚨 공매도 비중 주의 (28.48%)', 'cls': 'negative'}, {'text': '🚨 강력한 하방 압력(공매도 급증 +23.2%)', 'cls': 'negative'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 53, 'wyckoff': 100, 'stochastic': 90.62465529507509, 'obv': 75, 'bollinger': 0, 'momentum_quality': 36.4, 'regime_score': 50, 'rr_score': 99.1, 'base_tech': np.float64(62.0)}",+0.00%,0.5,0,0,0,False,False
GC=F,GC=F,$4499.00,4499.0,-0.16,49.2,50.2,False,False,False,37.7,Distribution,"{'trend': 48.0, 'momentum': 38.3, 'flow': 63.0, 'volatility': 88, 'structure': 30.0, 'momentum_quality': 34.0, 'insider': 45.0}",2.0,,0.0,Underweight,매도 우위 (투매 경고 - 강한 하방 압력),False,하락,하단,혼합,-2.8,8.0,상승,57687.65196691188,,,,,,"[{'text': '분산 경고', 'cls': 'negative'}, {'text': '🔥 거래량 18.1x', 'cls': 'positive'}, {'text': 'Squeeze 대기', 'cls': 'neutral'}, {'text': '거래량 폭발', 'cls': 'neutral'}]","{'mfc': 50, 'wyckoff': 30, 'stochastic': 30.212227613246153, 'obv': 25, 'bollinger': 100, 'momentum_quality': 34.0, 'regime_score': 50, 'rr_score': 100, 'base_tech': 42.7}",N/A,,0,0,0,False,False
NU,Nu Holdings Ltd.,$12.29,12.289999961853027,0.0,49.0,28.6,False,False,False,26.9,Markdown,"{'trend': 5, 'momentum': 33.4, 'flow': 23.0, 'volatility': 48, 'structure': 20.0, 'momentum_quality': 4.2, 'insider': 50.0}",0.0,4.4266976494509205,0.0373,Avoid / Sell-off,매도 우위 (전면 회피 - 다중지표 약세 컨플루언스 확인),True,하락,하단,역배열,-11.0,0.0,상승,-239705984.5947309,0.565,0.437,,0.48231,,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': '⚠️ 주봉 역배열(하락추세)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 29, 'wyckoff': 10, 'stochastic': 59.590561162931, 'obv': 25, 'bollinger': 100, 'momentum_quality': 4.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(30.6)}",+0.00%,0.5,0,0,0,False,False
MSFT,Microsoft Corporation,$417.42,417.4200134277344,-1.44,49.0,64.1,False,False,False,54.2,Accumulation,"{'trend': 28.0, 'momentum': 66.7, 'flow': 89.0, 'volatility': 93, 'structure': 65.0, 'momentum_quality': 57.7, 'insider': 50.0}",2.0,-2.3255259200065015,0.0107,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),True,상승,상단,데드크로스 진행,0.0,0.0,상승,33392105.881351236,0.231,0.183,0.68309,0.46326,37011251200.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '🎯 시그널 컨플루언스 (3)', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': 'Squeeze 대기', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}]","{'mfc': 64, 'wyckoff': 100, 'stochastic': 78.44844318963843, 'obv': 75, 'bollinger': 0, 'momentum_quality': 57.7, 'regime_score': 50, 'rr_score': 70.8, 'base_tech': np.float64(67.5)}",N/A,,0,0,0,False,False
NOK,Nokia Corporation Sponsored,$13.67,13.670000076293945,-0.51,48.9,58.8,False,False,False,62.0,Markup,"{'trend': 100, 'momentum': 57.0, 'flow': 29.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 80.9, 'insider': 50.0}",-6.0,21.29048659542736,0.012,Core Holding,매수 우위 (안정적 상승 추세 안착),False,하락,상단,정배열,7.7,0.0,상승,302148483.87230194,,0.024,0.45359,0.05292,1597124992.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '🚨 강력한 하방 압력(공매도 급증 +21.3%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 59, 'wyckoff': 80, 'stochastic': 20.737273275482355, 'obv': 25, 'bollinger': 0, 'momentum_quality': 80.9, 'regime_score': 50, 'rr_score': 84.6, 'base_tech': np.float64(52.6)}",+0.00%,0.5,0,0,0,False,False
