ticker,name,price,close_raw,change_pct,rec_score,mfc_score,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,ai_prediction,ai_confidence,gap_pct,volume_surge,near_52w_high,premarket_active
012450.KS,한화에어로스페이스,"1,286,000원",1286000.0,4.81,70.0,52.7,False,False,False,42.7,Accumulation,"{'trend': 48.0, 'momentum': 49.2, 'flow': 58.0, 'volatility': 53, 'structure': 65.0, 'momentum_quality': 22.5, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),True,상승,하단,혼합,-5.6,10.0,-0.657,0.745,0.20352,0.095249996,1041567449088.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '⚡ 갭업 +4.8%', 'cls': 'positive'}, {'text': '🚨 EPS 급락(-66%)', 'cls': 'negative'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 53, 'wyckoff': 100, 'stochastic': 55.661909455974005, 'obv': 75, 'bollinger': 100, 'momentum_quality': 22.5, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(63.5)}",+0.00%,0.5,0,0,False,False
028260.KS,삼성물산,"380,500원",380500.0,-4.76,65.3,70.6,False,False,False,55.3,Markup,"{'trend': 100, 'momentum': 77.7, 'flow': 53.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,하락,상단,정배열,5.4,5.0,0.649,0.084,0.18868999,0.074939996,-47558209536.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -4.8% (반등?)', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 71, 'wyckoff': 80, 'stochastic': 27.053140096618353, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 91.9, 'base_tech': np.float64(60.4)}",+0.00%,0.5,0,0,False,False
009150.KS,삼성전기,"987,000원",987000.0,-4.27,65.2,64.7,False,False,False,72.6,Accumulation,"{'trend': 100, 'momentum': 73.0, 'flow': 47.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,11.4,5.0,0.069,0.164,0.20128,0.08253,-1814668544.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -4.3% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 65, 'wyckoff': 100, 'stochastic': 26.987825100174376, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 93.3, 'base_tech': np.float64(61.9)}",+0.00%,0.5,0,0,False,False
005935.KS,삼성전자우,"180,800원",180800.0,-2.32,64.9,74.2,False,False,False,58.5,Markup,"{'trend': 100, 'momentum': 56.8, 'flow': 87.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,5.2,5.0,4.888,0.693,0.47674,0.42718,16767439077376.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -2.3% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 74, 'wyckoff': 80, 'stochastic': 29.683270351430675, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 69.2, 'base_tech': np.float64(67.9)}",+0.00%,0.5,0,0,False,False
000660.KS,SK하이닉스,"1,745,000원",1745000.0,-5.16,64.8,66.8,False,False,False,64.9,Markup,"{'trend': 100, 'momentum': 82.0, 'flow': 39.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,하락,상단,정배열,13.7,5.0,3.976,1.981,0.59647,0.71535003,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -5.2% (반등?)', 'cls': 'neutral'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 67, 'wyckoff': 80, 'stochastic': 26.902207837177876, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 92.9, 'base_tech': np.float64(59.0)}",+0.00%,0.5,0,0,False,False
005380.KS,현대차,"604,000원",604000.0,-8.9,64.7,63.8,False,False,False,53.0,Accumulation,"{'trend': 100, 'momentum': 68.9, 'flow': 33.0, 'volatility': 23, 'structure': 75.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,2.5,5.0,-0.261,0.034,0.17708,0.05475,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -8.9% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ EPS 감소(-26%)', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 64, 'wyckoff': 100, 'stochastic': 4.645290269139096, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 95.6, 'base_tech': np.float64(58.9)}",+0.00%,0.5,0,0,False,False
402340.KS,SK스퀘어,"1,020,000원",1020000.0,-6.68,64.4,62.5,False,False,False,60.1,Accumulation,"{'trend': 100, 'momentum': 56.6, 'flow': 39.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,7.3,5.0,3.342,1.081,0.97103995,-0.11807,5771118510080.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -6.7% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 62, 'wyckoff': 100, 'stochastic': 23.963499162448763, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 89.7, 'base_tech': np.float64(60.8)}",+0.00%,0.5,0,0,False,False
000270.KS,기아,"154,900원",154900.0,-4.68,63.3,56.4,False,False,False,45.3,Accumulation,"{'trend': 98.0, 'momentum': 39.8, 'flow': 21.0, 'volatility': 38, 'structure': 75.0, 'momentum_quality': 30.4, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,하락,하단,정배열,-3.9,5.0,-0.154,0.035,0.19638,0.065560006,1879376658432.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -4.7% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ MACD 하향', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 56, 'wyckoff': 100, 'stochastic': 0, 'obv': 25, 'bollinger': 100, 'momentum_quality': 30.4, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(53.3)}",+0.00%,0.5,0,0,False,False
005930.KS,삼성전자,"275,500원",275500.0,-1.96,61.0,77.8,False,False,False,62.6,Markup,"{'trend': 100, 'momentum': 81.8, 'flow': 93.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,10.2,0.0,4.888,0.693,0.47674,0.42718,16767439077376.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 78, 'wyckoff': 80, 'stochastic': 32.2646914315186, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 73.5, 'base_tech': np.float64(69.5)}",+0.00%,0.5,0,0,False,False
032830.KS,삼성생명,"312,000원",312000.0,-0.48,60.5,73.7,False,False,False,67.0,Markup,"{'trend': 100, 'momentum': 83.9, 'flow': 73.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,11.6,0.0,1.87,,0.58278,-0.83023,-1122392997888.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🔴 영업손실(-83%)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 74, 'wyckoff': 80, 'stochastic': 32.77972837880668, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 75.3, 'base_tech': np.float64(68.1)}",+0.00%,0.5,0,0,False,False
