ticker,name,price,close_raw,change_pct,rec_score,mfc_score,low_float,short_squeeze,ai_momentum,rsi,phase,mfc_breakdown,short_interest_adj,short_interest_change,short_interest_ratio,rating,advice_short,stoch_golden,obv_trend,bollinger,ma_alignment,deviation_pct,scalping_bonus,eps_growth,revenue_growth,gross_margin,operating_margin,free_cashflow,tags,factors,ai_prediction,ai_confidence,gap_pct,volume_surge,near_52w_high,premarket_active
005930.KS,삼성전자,"281,000원",281000.0,3.88,71.0,78.2,False,False,False,65.4,Markup,"{'trend': 100, 'momentum': 84.0, 'flow': 93.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,13.8,10.0,4.888,0.693,0.47674,0.42718,16767439077376.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚡ 갭업 +3.9%', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 78, 'wyckoff': 80, 'stochastic': 37.657066429025576, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 71.1, 'base_tech': np.float64(70.3)}",+0.00%,0.5,0,0,False,False
005935.KS,삼성전자우,"185,100원",185100.0,3.18,70.4,78.0,False,False,False,61.7,Markup,"{'trend': 100, 'momentum': 81.7, 'flow': 93.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,8.8,10.0,4.888,0.693,0.47674,0.42718,16767439077376.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚡ 갭업 +3.2%', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 78, 'wyckoff': 80, 'stochastic': 37.58438841204711, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 65.6, 'base_tech': np.float64(70.2)}",+0.00%,0.5,0,0,False,False
009150.KS,삼성전기,"1,031,000원",1031000.0,2.08,70.4,72.1,False,False,False,82.1,Markup,"{'trend': 100, 'momentum': 54.9, 'flow': 93.0, 'volatility': 23, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,18.4,10.0,0.069,0.164,0.20128,0.08253,-1814668544.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '⚡ 갭업 +2.1%', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 72, 'wyckoff': 80, 'stochastic': 33.947055898473906, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 40, 'rr_score': 91.6, 'base_tech': np.float64(67.7)}",+0.00%,0.5,0,0,False,False
000270.KS,기아,"162,500원",162500.0,-3.27,65.4,64.5,False,False,False,50.9,Accumulation,"{'trend': 100, 'momentum': 67.0, 'flow': 15.0, 'volatility': 43, 'structure': 75.0, 'momentum_quality': 99.2, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,하락,상단,정배열,0.7,5.0,-0.154,0.035,0.19638,0.065560006,1879376658432.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -3.3% (반등?)', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 64, 'wyckoff': 100, 'stochastic': 12.513177879031545, 'obv': 25, 'bollinger': 0, 'momentum_quality': 99.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(60.0)}",+0.00%,0.5,0,0,False,False
005380.KS,현대차,"663,000원",663000.0,-5.29,63.6,64.9,False,False,False,65.1,Markup,"{'trend': 100, 'momentum': 82.0, 'flow': 33.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Core Holding,매수 우위 (안정적 상승 추세 안착),False,하락,상단,정배열,13.2,5.0,-0.261,0.034,0.17708,0.05475,,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '🔻 갭다운 -5.3% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ EPS 감소(-26%)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 65, 'wyckoff': 80, 'stochastic': 26.458280094762898, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 84.7, 'base_tech': np.float64(58.3)}",+0.00%,0.5,0,0,False,False
329180.KS,HD현대중공업,"615,000원",615000.0,-3.91,62.6,57.8,False,False,False,48.5,Accumulation,"{'trend': 100, 'momentum': 39.3, 'flow': 47.0, 'volatility': 18, 'structure': 75.0, 'momentum_quality': 28.0, 'insider': 50.0}",2.0,,0.0,Tactical Hold,"중립 대기 (방향성 탐색 중, 뚜렷한 주도력 부재)",False,하락,하단,정배열,-5.5,5.0,0.335,0.296,0.16833,0.1106,2392049057792.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '🔻 갭다운 -3.9% (반등?)', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 58, 'wyckoff': 100, 'stochastic': 0, 'obv': 25, 'bollinger': 100, 'momentum_quality': 28.0, 'regime_score': 50, 'rr_score': 91.3, 'base_tech': np.float64(53.4)}",+0.00%,0.5,0,0,False,False
032830.KS,삼성생명,"313,500원",313500.0,1.13,60.7,72.9,False,False,False,67.9,Markup,"{'trend': 100, 'momentum': 85.6, 'flow': 67.0, 'volatility': 23, 'structure': 65.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),False,상승,상단,정배열,13.4,0.0,1.87,,0.58278,-0.83023,-1122392997888.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📈 EPS 반등/턴어라운드', 'cls': 'positive'}, {'text': '🔴 영업손실(-83%)', 'cls': 'negative'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 73, 'wyckoff': 80, 'stochastic': 40.973167044595584, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 76.1, 'base_tech': np.float64(68.8)}",+0.00%,0.5,0,0,False,False
028260.KS,삼성물산,"399,500원",399500.0,0.76,60.4,67.7,False,False,False,60.5,Accumulation,"{'trend': 100, 'momentum': 81.4, 'flow': 47.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,11.9,0.0,0.649,0.084,0.18868999,0.074939996,-47558209536.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 68, 'wyckoff': 100, 'stochastic': 35.431763285024175, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 88.8, 'base_tech': np.float64(63.9)}",+0.00%,0.5,0,0,False,False
000660.KS,SK하이닉스,"1,840,000원",1840000.0,1.15,59.7,66.0,False,False,False,72.5,Accumulation,"{'trend': 100, 'momentum': 74.8, 'flow': 45.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (하방 경계 - 바닥 탐색 진행 중),False,하락,상단,정배열,22.4,0.0,3.976,1.981,0.59647,0.71535003,,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 66, 'wyckoff': 100, 'stochastic': 38.00174399878042, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 83.3, 'base_tech': np.float64(63.7)}",+0.00%,0.5,0,0,False,False
402340.KS,SK스퀘어,"1,093,000원",1093000.0,-0.46,59.7,68.7,False,False,False,68.9,Accumulation,"{'trend': 100, 'momentum': 85.4, 'flow': 45.0, 'volatility': 23, 'structure': 60.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Aggressive Buy,매수 우위 (분할 매수 - 바닥 확인 후 모멘텀 턴어라운드),False,하락,상단,정배열,17.1,0.0,3.342,1.081,0.97103995,-0.11807,5771118510080.0,"[{'text': '매집 구간', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 69, 'wyckoff': 100, 'stochastic': 36.90470421952618, 'obv': 25, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 79.7, 'base_tech': np.float64(64.5)}",+0.00%,0.5,0,0,False,False
373220.KS,LG에너지솔루션,"408,000원",408000.0,-2.16,56.8,34.5,False,False,False,39.8,Markdown,"{'trend': 25.0, 'momentum': 43.7, 'flow': 39.0, 'volatility': 48, 'structure': 15.0, 'momentum_quality': 4.2, 'insider': 50.0}",2.0,,0.0,Avoid / Sell-off,매도 우위 (전면 회피 - 다중지표 약세 컨플루언스 확인),True,하락,하단,데드크로스 진행,-10.8,5.0,,,0.17883,0.19408001,-9645719552000.0,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': '🔻 갭다운 -2.2% (반등?)', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 34, 'wyckoff': 10, 'stochastic': 51.998731982244344, 'obv': 25, 'bollinger': 100, 'momentum_quality': 4.2, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(31.7)}",+0.00%,0.5,0,0,False,False
207940.KS,삼성바이오로직스,"1,386,000원",1386000.0,-2.33,56.7,27.4,False,False,False,31.3,Markdown,"{'trend': 5, 'momentum': 40.4, 'flow': 7.0, 'volatility': 58, 'structure': 15.0, 'momentum_quality': 33.8, 'insider': 50.0}",2.0,,0.0,Avoid / Sell-off,매도 우위 (전면 회피 - 다중지표 약세 컨플루언스 확인),True,하락,하단,역배열,-7.1,5.0,,,0.55152,0.46221,,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': '🔻 갭다운 -2.3% (반등?)', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 27, 'wyckoff': 10, 'stochastic': 60.07917736389832, 'obv': 25, 'bollinger': 100, 'momentum_quality': 33.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(34.7)}",+0.00%,0.5,0,0,False,False
000810.KS,삼성화재,"554,000원",554000.0,0.0,54.9,75.9,False,False,False,73.4,Markup,"{'trend': 100, 'momentum': 80.8, 'flow': 67.0, 'volatility': 33, 'structure': 80.0, 'momentum_quality': 100, 'insider': 50.0}",2.0,,0.0,Tactical Overweight,매수 우위 (강력 매수 - 다중지표 강세 컨플루언스 확인),True,상승,상단 돌파,정배열,13.4,0.0,0.133,0.049,0.20955,0.072270006,-4880330653696.0,"[{'text': '상승 추세', 'cls': 'positive'}, {'text': '📊 VWAP 상회 주의', 'cls': 'neutral'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}]","{'mfc': 76, 'wyckoff': 80, 'stochastic': 61.79899646083751, 'obv': 75, 'bollinger': 0, 'momentum_quality': 100, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(72.4)}",N/A,,0,0,False,False
012450.KS,한화에어로스페이스,"1,227,000원",1227000.0,0.9,54.5,40.4,False,False,False,35.2,Distribution,"{'trend': 40.0, 'momentum': 32.6, 'flow': 47.0, 'volatility': 48, 'structure': 30.0, 'momentum_quality': 0, 'insider': 50.0}",2.0,,0.0,Underweight,매도 우위 (투매 경고 - 강한 하방 압력),False,상승,하단,혼합,-10.4,0.0,-0.657,0.745,0.20352,0.095249996,1041567449088.0,"[{'text': '분산 경고', 'cls': 'negative'}, {'text': '🚨 EPS 급락(-66%)', 'cls': 'negative'}, {'text': '🚀 매출 고성장', 'cls': 'positive'}, {'text': 'OBV 상승', 'cls': 'positive'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 40, 'wyckoff': 30, 'stochastic': 46.677490464447665, 'obv': 75, 'bollinger': 100, 'momentum_quality': 0, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(42.1)}",+0.00%,0.5,0,0,False,False
105560.KS,KB금융,"153,000원",153000.0,-1.67,54.1,42.7,False,False,False,45.6,Markdown,"{'trend': 40.0, 'momentum': 53.3, 'flow': 15.0, 'volatility': 83, 'structure': 15.0, 'momentum_quality': 24.8, 'insider': 50.0}",2.0,,0.0,Tactical Hold,매도 우위 (비중 축소 - 지지선 단기 이탈 및 추세 악화),True,하락,하단,데드크로스 진행,-2.8,0.0,0.115,0.152,,0.60714,,"[{'text': '하락 추세', 'cls': 'negative'}, {'text': 'Stoch 골든크로스', 'cls': 'positive'}, {'text': 'Squeeze 대기', 'cls': 'neutral'}, {'text': '⚠️ 장기 매물대(저항선) 충돌 위험', 'cls': 'negative'}, {'text': '📉 AI 예상: +0.0%', 'cls': 'negative'}]","{'mfc': 43, 'wyckoff': 10, 'stochastic': 63.09854324367886, 'obv': 25, 'bollinger': 100, 'momentum_quality': 24.8, 'regime_score': 50, 'rr_score': 100, 'base_tech': np.float64(39.0)}",+0.00%,0.5,0,0,False,False
